127.0.0.1 - - [08/Jun/2023:12:07:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:07:30 +0530] "GET /Pharmacy/faces/addDoctor.xhtml HTTP/1.1" 200 7050
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:07:30 +0530] "GET /Pharmacy/faces/javax.faces.resource/primeicons/primeicons.css;jsessionid=2AB26828A165844E32EEADFEA2AC5BA5?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:07:30 +0530] "GET /Pharmacy/faces/javax.faces.resource/core.js;jsessionid=2AB26828A165844E32EEADFEA2AC5BA5?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89155
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:07:30 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery.js;jsessionid=2AB26828A165844E32EEADFEA2AC5BA5?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:07:30 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=2AB26828A165844E32EEADFEA2AC5BA5?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:07:30 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.js;jsessionid=2AB26828A165844E32EEADFEA2AC5BA5?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:07:30 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.css;jsessionid=2AB26828A165844E32EEADFEA2AC5BA5?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108055
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:07:30 +0530] "GET /Pharmacy/faces/javax.faces.resource/theme.css;jsessionid=2AB26828A165844E32EEADFEA2AC5BA5?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:07:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:08:14 +0530] "POST /Pharmacy/faces/addDoctor.xhtml;jsessionid=2AB26828A165844E32EEADFEA2AC5BA5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:08:15 +0530] "GET /Pharmacy/faces/Home.xhtml HTTP/1.1" 200 6754
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:08:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:08:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:08:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:08:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:08:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:08:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:08:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:08:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
