127.0.0.1 - - [13/Jun/2023:10:45:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:24 +0530] "GET /Pharmacy/faces/Login.xhtml HTTP/1.1" 200 6444
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:24 +0530] "GET /Pharmacy/faces/javax.faces.resource/core.js;jsessionid=5A27701FD4A173026166A749951B3D72?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89155
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:24 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery.js;jsessionid=5A27701FD4A173026166A749951B3D72?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:24 +0530] "GET /Pharmacy/faces/javax.faces.resource/watermark/watermark.js;jsessionid=5A27701FD4A173026166A749951B3D72?ln=primefaces&v=12.0.0 HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:24 +0530] "GET /Pharmacy/faces/javax.faces.resource/primeicons/primeicons.css;jsessionid=5A27701FD4A173026166A749951B3D72?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:24 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.js;jsessionid=5A27701FD4A173026166A749951B3D72?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:24 +0530] "GET /Pharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:24 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=5A27701FD4A173026166A749951B3D72?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:24 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.css;jsessionid=5A27701FD4A173026166A749951B3D72?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108055
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:24 +0530] "GET /Pharmacy/faces/javax.faces.resource/theme.css;jsessionid=5A27701FD4A173026166A749951B3D72?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:45:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:02 +0530] "POST /Pharmacy/faces/Login.xhtml;jsessionid=5A27701FD4A173026166A749951B3D72 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:02 +0530] "GET /Pharmacy/faces/Home.xhtml HTTP/1.1" 200 6772
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:02 +0530] "GET /Pharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:02 +0530] "GET /Pharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:02 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:02 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:02 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:02 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:02 +0530] "GET /Pharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:02 +0530] "GET /Pharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:13 +0530] "GET /Pharmacy/faces/javax.faces.resource/primeicons/primeicons.woff2?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:13 +0530] "POST /Pharmacy/faces/Home.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:14 +0530] "POST /Pharmacy/faces/Home.xhtml HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:15 +0530] "GET /Pharmacy/faces/doctor.xhtml HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:15 +0530] "GET /Pharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:19 +0530] "POST /Pharmacy/faces/doctor.xhtml HTTP/1.1" 200 6774
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:19 +0530] "GET /Pharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:19 +0530] "GET /Pharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:19 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:19 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:19 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:19 +0530] "GET /Pharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:19 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:07:19 +0530] "GET /Pharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:08:46 +0530] "POST /Pharmacy/faces/Home.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2023:11:08:46 +0530] "GET /Pharmacy/error.xhtml HTTP/1.1" 200 2715
